x,cons,son,voice,rnd,ant,dist,high,back,low,atr,rtr,cont,delr,lat,nas,strid,sg,cg,trill,flap,lab,cor,dors,lar,tr
ɶ̃,0,1,1,1,-1,-1,0,0,1,0,1,1,-1,0,1,1,0,1,-1,-1,1,0,1,0,0
ɯ̥,0,1,0,0,-1,-1,1,1,0,1,0,1,-1,0,0,0,0,0,-1,-1,0,0,1,0,0
ɯ̰,0,1,0,0,-1,-1,1,1,0,1,0,1,-1,0,0,0,0,1,-1,-1,0,0,1,0,0
ɯ̤,0,1,1,0,-1,-1,1,1,0,1,0,1,-1,0,0,1,1,0,-1,-1,0,0,1,0,0
ɯ̃,0,1,1,0,-1,-1,1,1,0,1,0,1,-1,0,1,1,0,1,-1,-1,0,0,1,0,0
ɤ̥,0,1,0,0,-1,-1,0,1,0,1,0,1,-1,0,0,0,0,0,-1,-1,0,0,1,0,0
ɤ̰,0,1,0,0,-1,-1,0,1,0,1,0,1,-1,0,0,0,0,1,-1,-1,0,0,1,0,0
ɤ̤,0,1,1,0,-1,-1,0,1,0,1,0,1,-1,0,0,1,1,0,-1,-1,0,0,1,0,0
ɤ̃,0,1,1,0,-1,-1,0,1,0,1,0,1,-1,0,1,1,0,1,-1,-1,0,0,1,0,0
ʌ̥,0,1,0,0,-1,-1,0,1,0,0,1,1,-1,0,0,0,0,0,-1,-1,0,0,1,0,0
ʌ̰,0,1,0,0,-1,-1,0,1,0,0,1,1,-1,0,0,0,0,1,-1,-1,0,0,1,0,0
ʌ̤,0,1,1,0,-1,-1,0,1,0,0,1,1,-1,0,0,1,1,0,-1,-1,0,0,1,0,0
ʌ̃,0,1,1,0,-1,-1,0,1,0,0,1,1,-1,0,1,1,0,1,-1,-1,0,0,1,0,0
ɑ̥,0,1,0,0,-1,-1,0,1,1,0,1,1,-1,0,0,0,0,0,-1,-1,0,0,1,0,0
ɑ̰,0,1,0,0,-1,-1,0,1,1,0,1,1,-1,0,0,0,0,1,-1,-1,0,0,1,0,0
ɑ̤,0,1,1,0,-1,-1,0,1,1,0,1,1,-1,0,0,1,1,0,-1,-1,0,0,1,0,0
ɑ̃,0,1,1,0,-1,-1,0,1,1,0,1,1,-1,0,1,1,0,1,-1,-1,0,0,1,0,0
u̥,0,1,0,1,-1,-1,1,1,0,1,0,1,-1,0,0,0,0,0,-1,-1,1,0,1,0,0
ṵ,0,1,0,1,-1,-1,1,1,0,1,0,1,-1,0,0,0,0,1,-1,-1,1,0,1,0,0
ṳ,0,1,1,1,-1,-1,1,1,0,1,0,1,-1,0,0,1,1,0,-1,-1,1,0,1,0,0
ũ,0,1,1,1,-1,-1,1,1,0,1,0,1,-1,0,1,1,0,1,-1,-1,1,0,1,0,0
ʊ̥,0,1,0,1,-1,-1,1,1,0,0,1,1,-1,0,0,0,0,0,-1,-1,1,0,1,0,0
ʊ̰,0,1,0,1,-1,-1,1,1,0,0,1,1,-1,0,0,0,0,1,-1,-1,1,0,1,0,0
ʊ̤,0,1,1,1,-1,-1,1,1,0,0,1,1,-1,0,0,1,1,0,-1,-1,1,0,1,0,0
ʊ̃,0,1,1,1,-1,-1,1,1,0,0,1,1,-1,0,1,1,0,1,-1,-1,1,0,1,0,0
o̥,0,1,0,1,-1,-1,0,1,0,1,0,1,-1,0,0,0,0,0,-1,-1,1,0,1,0,0
o̰,0,1,0,1,-1,-1,0,1,0,1,0,1,-1,0,0,0,0,1,-1,-1,1,0,1,0,0
o̤,0,1,1,1,-1,-1,0,1,0,1,0,1,-1,0,0,1,1,0,-1,-1,1,0,1,0,0
õ,0,1,1,1,-1,-1,0,1,0,1,0,1,-1,0,1,1,0,1,-1,-1,1,0,1,0,0
ɔ̥,0,1,0,1,-1,-1,0,1,0,0,1,1,-1,0,0,0,0,0,-1,-1,1,0,1,0,0
ɔ̰,0,1,0,1,-1,-1,0,1,0,0,1,1,-1,0,0,0,0,1,-1,-1,1,0,1,0,0
ɔ̤,0,1,1,1,-1,-1,0,1,0,0,1,1,-1,0,0,1,1,0,-1,-1,1,0,1,0,0
ɔ̃,0,1,1,1,-1,-1,0,1,0,0,1,1,-1,0,1,1,0,1,-1,-1,1,0,1,0,0
ɒ̥,0,1,0,1,-1,-1,0,1,1,0,1,1,-1,0,0,0,0,0,-1,-1,1,0,1,0,0
ɒ̰,0,1,0,1,-1,-1,0,1,1,0,1,1,-1,0,0,0,0,1,-1,-1,1,0,1,0,0
ɒ̤,0,1,1,1,-1,-1,0,1,1,0,1,1,-1,0,0,1,1,0,-1,-1,1,0,1,0,0
ɒ̃,0,1,1,1,-1,-1,0,1,1,0,1,1,-1,0,1,1,0,1,-1,-1,1,0,1,0,0
ɝ̥,0,1,0,0,0,0,0,1,0,0,1,1,-1,0,0,0,0,0,-1,-1,0,1,1,0,0
ɝ̰,0,1,0,0,0,0,0,1,0,0,1,1,-1,0,0,0,0,1,-1,-1,0,1,1,0,0
ɝ̤,0,1,1,0,0,0,0,1,0,0,1,1,-1,0,0,1,1,0,-1,-1,0,1,1,0,0
ɝ̃,0,1,1,0,0,0,0,1,0,0,1,1,-1,0,1,1,0,1,-1,-1,0,1,1,0,0
ə̥,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,-1,-1,0,0,1,0,0
ə̰,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,1,-1,-1,0,0,1,0,0
ə̤,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,1,1,0,-1,-1,0,0,1,0,0
ə̃,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,0,1,-1,-1,0,0,1,0,0
